"sku","name","rial","toman","stock","status"
"sku","name","rial","toman","stock","status"
"30607295",-1,"گلدان ایکیا مدل BLODBJORK، صورتی کم‌رنگ/آبی، ارتفاع ۱۶ سانتی‌متر","",""
"80607311","گلدان ایکیا مدل PELARBJORK، سفید، ارتفاع 14 سانتی‌متر",40,60000000,170,"success"
"00607310","گلدان ایکیا مدل PELARBJORK، خاکستری-سبز، ۲۰ سانتی‌متر",70,105000000,18,"success"
"80607306",-1,"گلدان ایکیا مدل GLANSGRAN بژ/مشکی ارتفاع ۲۳ سانتی‌متر","",""
"50583986","لامپ LED ایکیا مدل SOLHETTA سرپیچ E14 و ۲۵۰ لومن، سفید اُپال",10,15000000,306,"success"
"00584035","لامپ LED ایکیا مدل SOLHETTA سرپیچ E14و ۲۵۰ لومن، سفید اُپال",10,15000000,8,"success"
"00584097","لامپ LED ایکیا مدل  SOLHETTA سرپیچ GU10 و ۳۴۵ لومن، قابل تنظیم شدت نور",10,15000000,1146,"success"
"00584016","لامپ LED ایکیا مدل  SOLHETTA سرپیچ E14 و۴۷۰ لومن، سفید اُپال",10,15000000,728,"success"
"20584082","لامپ LED ایکیا مدل SOLHETTA سرپیچ GU10 و ۲۳۰ لومن",20,30000000,683,"success"
"30583968","لامپ LED ایکیا مدل SOLHETTA سرپیچ E14 و 470 لومن، سفید اُپال",10,15000000,1948,"success"
"50583934","لامپ LED ایکیا مدل SOLHETTA سرپیچ E27، قابل تنظیم، سفید اُپال",20,30000000,522,"success"
"20603330",-1,"باکس نظم دهنده ایکیا مدل DRONA، زرد تیره، ۳۳×۳۸×۳۳ سانتی‌متر","",""
"90587039","ست ۳ تکه لوازم سرویس بهداشتی ایکیا مدل GANSJON، مشکی",60,90000000,5,"success"
"50595442","زیرانداز خشک‌ کن ظرف ایکیا مدل RINNIG، بژ، ۵۱x۴۲ سانتی‌متر",20,30000000,443,"success"
"40601354","نگهدارنده بشقاب ایکیا مدل RINNIG، زرد",20,30000000,4,"success"
"00609899","پیشبند ایکیا مدل  RINNIG طرح‌دار، ۶۹x۸۵ سانتی‌متر",20,30000000,0,"success"
"10609907","دستمال آشپزخانه ایکیا مدل RINNIG، طرح دار/ رنگ‌های ترکیبی",20,30000000,0,"success"
"30609906","دستمال آشپزخانه ایکیا مدل RINNIG، راه‌راه قرمز/بژ",20,30000000,76,"success"
"50609905","دستمال آشپزخانه ایکیا مدل RINNIG، راه‌راه سبز/آبی",20,30000000,469,"success"
"30608252",-1,"بشقاب کاسه ای ایکیا مدل OFTAST سبز ملایم 20 سانتی‌متر","",""
